영화 대표코드,영화명(국문),영화명(영문),영화명(원문),관람등급,개봉연도,상영시간,장르,감독
20195915,해피 데스데이 2 유,Happy Death Day 2 U,,15세이상관람가,20190214,100,공포(호러),크리스토퍼 랜던
20020222,해리포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,,전체관람가,20021213,161,드라마,크리스 콜럼버스
20185576,콜드 체이싱,Cold Pursuit,,15세이상관람가,20190220,118,액션,한스 페터 몰란트
20184888,메리 포핀스 리턴즈,Mary Poppins Returns,,전체관람가,20190214,130,판타지,롭 마샬
20174169,기묘한 가족,THE ODD FAMILY : ZOMBIE ON SALE,,12세이상관람가,20190213,111,코미디,이민재
20180868,뺑반,Hit-and-Run Squad,,15세이상관람가,20190130,133,범죄,한준희
20162003,명탐정 코난:전율의 악보,Detective Conan: Full Score of Fear,,12세이상관람가,20190214,115,애니메이션,야마모토 야스이치로
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,Hello Carbot The Movie: The Secret of Omphalos Island,,전체관람가,20190131,78,애니메이션,김진철
20185444,레고 무비2,The Lego Movie 2: The Second Part,,전체관람가,20190206,106,애니메이션,마이크 미첼
20184105,말모이,MAL·MO·E: The Secret Mission,,12세이상관람가,20190109,135,드라마,엄유나
20185124,러브 유어셀프 인 서울,LOVE YOURSELF IN SEOUL,,전체관람가,20190126,111,공연,
20184896,가버나움,Capharnaum,Capernaum,15세이상관람가,20190124,126,드라마,나딘 라바키
20176251,내안의 그놈,The Dude in Me,,15세이상관람가,20190109,122,판타지,강효진
20189463,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,,전체관람가,20190103,112,애니메이션,리치 무어
20182544,글래스,Glass,,15세이상관람가,20190117,129,드라마,M. 나이트 샤말란
20186324,언더독,Underdog,,전체관람가,20190116,101,애니메이션,이춘백
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,20181031,134,드라마,브라이언 싱어
20189385,몬스터 파크,Here Comes the Grump,,전체관람가,20190123,86,애니메이션,안드레스 코투리어
20180290,아쿠아맨,AQUAMAN,,12세이상관람가,20181219,143,액션,제임스 완
20183915,극장판 공룡메카드: 타이니소어의 섬,,,전체관람가,20190110,70,애니메이션,최신규
20182588,미래의 미라이,MIRAI,未来のミライ(,전체관람가,20190116,97,애니메이션,호소다 마모루
20186281,범블비,Bumblebee,,12세이상관람가,20181225,113,액션,트래비스 나이트
20170658,PMC: 더 벙커,Take Point,,15세이상관람가,20181226,124,액션,김병우
20175547,스윙키즈,Swing Kids,,12세이상관람가,20181219,133,드라마,강형철
20183785,점박이 한반도의 공룡2 : 새로운 낙원,,,전체관람가,20181225,93,애니메이션,한상호
20184187,언니,No Mercy,,청소년관람불가,20190101,93,액션,임경택
20182421,그린치,The Grinch,,전체관람가,20181219,89,애니메이션,스콧 모시어
20168773,마약왕,The Drug King,,청소년관람불가,20181219,139,범죄,우민호
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,,전체관람가,20181219,103,애니메이션,타카하시 와타루
20183238,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,,12세이상관람가,20181212,116,애니메이션,밥 퍼시케티
20177552,국가부도의 날,Default,,12세이상관람가,20181128,114,드라마,최국희
20179230,도어락,Door Lock,,15세이상관람가,20181205,102,스릴러,이권
20183375,극장판 포켓몬스터 모두의 이야기,Pokemon the Movie: The Power of Us,劇場版ポケットモンスター みんなの物語,전체관람가,20181219,98,애니메이션,야지마 테츠오
20189843,호두까기 인형과 4개의 왕국,The Nutcracker and the Four Realms,,전체관람가,20181206,99,판타지,라세 할스트롬
20182082,부탁 하나만 들어줘,A Simple Favor,,청소년관람불가,20181212,116,스릴러,폴 페이그
20178825,모털 엔진,Mortal Engines,,12세이상관람가,20181205,128,액션,크리스찬 리버스
20183745,런닝맨 : 풀룰루의 역습,Running Man,,전체관람가,20181205,66,애니메이션,윤준상
20177538,완벽한 타인,Intimate Strangers,,15세이상관람가,20181031,115,드라마,이재규
20184481,성난황소,Unstoppable,,15세이상관람가,20181122,115,범죄,김민호
20181905,후드,Robin Hood,,12세이상관람가,20181128,116,어드벤처,오토 바서스트
20176814,신비한 동물들과 그린델왈드의 범죄,Fantastic Beasts: The Crimes of Grindelwald,FANTASTIC BEASTS THE CRIMES OF GRINDELWALD,12세이상관람가,20181114,133,판타지,데이빗 예이츠
20183073,베일리 어게인,A Dog's Purpose,,전체관람가,20181122,100,어드벤처,라세 할스트롬
20181171,바울,"Paul, Apostle Of Christ",,15세이상관람가,20181031,107,드라마,앤드류 하얏트
20183007,거미줄에 걸린 소녀,THE GIRL IN THE SPIDER’S WEB,,15세이상관람가,20181128,115,액션,페드 알바레즈
20182966,투 프렌즈,TWO TAILS,,전체관람가,20181129,74,애니메이션,빅터 아즈에프
20183050,번 더 스테이지: 더 무비,Burn the Stage: the Movie,,전체관람가,20181115,82,기타,박준수
20182935,출국,Unfinished,,15세이상관람가,20181114,104,드라마,노규엽
20182669,툴리,TULLY,,15세이상관람가,20181122,95,드라마,제이슨 라이트맨
20186822,너의 췌장을 먹고 싶어,I want to eat your pancreas,君の膵臓をたべたい,12세이상관람가,20181115,109,애니메이션,우시지마 신이치로
20170513,동네사람들,Ordinary People,,15세이상관람가,20181107,99,액션,임진순
20189869,해피 투게더,Happy Together,,12세이상관람가,20181115,110,드라마,김정환
20174981,창궐,Rampant,,15세이상관람가,20181025,121,사극,김성훈
20010291,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,,전체관람가,20011213,152,가족,크리스 콜럼버스
20179006,여곡성,The Wrath,,15세이상관람가,20181108,94,공포(호러),유영선
20181404,벽 속에 숨은 마법시계,The house with a clock in its walls,,전체관람가,20181031,105,판타지,일라이 로스
20180523,스타 이즈 본,A Star Is Born,,15세이상관람가,20181009,135,드라마,브래들리 쿠퍼
20182693,구스범스: 몬스터의 역습,Goosebumps 2: Haunted Halloween,,12세이상관람가,20181107,89,판타지,아리 산델
20180987,할로윈,Halloween,,청소년관람불가,20181031,105,공포(호러),데이빗 고든 그린
20179189,암수살인,Dark Figure of Crime,暗數殺人,15세이상관람가,20181003,109,범죄,김태균
20189067,미쓰백,Miss Baek,,15세이상관람가,20181011,97,드라마,이지원
20182403,크레이지 리치 아시안,Crazy Rich Asians,,12세이상관람가,20181025,120,멜로/로맨스,존 추
20186321,퍼스트맨,First Man,,12세이상관람가,20181018,141,SF,데이미언 셔젤
20177221,베놈,Venom,,15세이상관람가,20181003,107,액션,루벤 플레셔
20189123,곰돌이 푸 다시 만나 행복해,Christopher Robin,,전체관람가,20181003,103,어드벤처,마크 포스터
20176122,안시성,The Great Battle,安市城,12세이상관람가,20180919,135,사극,김광식
20184678,배반의 장미,Too Hot to Die,,15세이상관람가,20181018,98,코미디,박진영
20187521,펭귄 하이웨이,Penguin Highway,ペンギン・ハイウェイ,전체관람가,20181018,117,애니메이션,이시다 히로야스
20180628,액슬,A-X-L,,12세이상관람가,20181018,98,액션,올리버 달리
20180770,다이노 어드벤처2: 육해공 공룡 대백과,Planet Dinosaur,,전체관람가,20181009,71,애니메이션,마이크 데블린
20189462,셜록 놈즈,Sherlock Gnomes,,전체관람가,20181003,86,애니메이션,존 스티븐슨
20177308,협상,THE NEGOTIATION,,15세이상관람가,20180919,114,범죄,이종석
20188661,에브리데이,EVERY DAY,,12세이상관람가,20181011,97,멜로/로맨스,마이클 수지
20172204,명당,FENGSHUI,,12세이상관람가,20180919,126,사극,박희곤
20167903,원더풀 고스트,THE SOUL-MATE,,12세이상관람가,20180926,96,코미디,조원희
20189262,더 넌,The Nun,,15세이상관람가,20180919,96,공포(호러),코린 하디
20185046,서치,Searching,,12세이상관람가,20180829,102,드라마,아니쉬 차간티
20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,Yo-Kai Watch 4,映画　妖怪ウォッチ　シャドウサイド　鬼王の復活,전체관람가,20180920,103,애니메이션,우시로 신지
20189268,루이스,Luis and the Aliens,,전체관람가,20180920,85,애니메이션,울프강 라우엔슈타인
20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티,,,전체관람가,20180922,68,애니메이션,닛타 노리오
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,"Boing, The Secret of Super Transformation",,전체관람가,20180920,72,애니메이션,정미화
20156554,물괴,Monstrum,,15세이상관람가,20180912,105,액션,허종호
20153446,너의 결혼식,On Your Wedding Day,,12세이상관람가,20180822,110,멜로/로맨스,이석근
20188581,더 프레데터,The Predator,,청소년관람불가,20180912,107,SF,쉐인 블랙
20189362,업그레이드,UPGRADE,,15세이상관람가,20180906,100,액션,리 워넬
20177537,상류사회,High Society,,청소년관람불가,20180829,119,드라마,변혁
20181942,맘마미아!2,MAMMA MIA! HERE WE GO AGAIN,,12세이상관람가,20180808,113,뮤지컬,올 파커
20186202,신과함께-인과 연,Along with the Gods: The Last 49 Days,,12세이상관람가,20180801,141,판타지,김용화
20179101,공작,The Spy Gone North,,12세이상관람가,20180808,137,드라마,윤종빈
20170670,목격자,The Witness,,15세이상관람가,20180815,111,스릴러,조규장
20189261,어드리프트:우리가 함께한 바다,ADRIFT,,12세이상관람가,20180906,96,멜로/로맨스,발타자르 코루마쿠르
20187647,나를 차버린 스파이,The Spy Who Dumped Me,,15세이상관람가,20180822,117,액션,수잔나 포겔
20181181,미션 임파서블: 폴아웃,Mission:Impossible- Fallout,,15세이상관람가,20180725,147,액션,크리스토퍼 맥쿼리
20139221,그래비티,Gravity,,12세이상관람가,20131017,90,SF,알폰소 쿠아론
20184802,몬스터 호텔 3,Hotel Transylvania 3: A Monster Vacation,,전체관람가,20180808,97,애니메이션,젠디 타타코브스키
20183584,메가로돈,The Meg,,12세이상관람가,20180815,113,액션,존 터틀타웁
20187657,마일22,Mile22,Mile22,15세이상관람가,20180823,94,액션,피터 버그
20187641,극장판 도라에몽: 진구의 보물섬,Doraemon the Movie: Nobita's Treasure Island,,전체관람가,20180815,107,애니메이션,이마이 카즈아키
20187427,명탐정 코난 : 제로의 집행인,Detective Conan: Zero the Enforcer,名探偵コナン ゼロの執行人,12세이상관람가,20180808,110,애니메이션,타치카와 유즈루
20186501,극장판 헬로카봇 : 백악기 시대,Hello Carbot the Movie: The Cretaceous Period,,전체관람가,20180801,84,애니메이션,최신규
20183361,인크레더블 2,INCREDIBLES 2,,전체관람가,20180718,125,애니메이션,브래드 버드
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,The Haunted House: The Secret of the Cave,,전체관람가,20180725,67,애니메이션,김병갑
20186121,어느 가족,SHOPLIFTERS,万引き家族,15세이상관람가,20180726,120,드라마,고레에다 히로카즈
20170942,인랑,ILLANG : THE WOLF BRIGADE,人狼,15세이상관람가,20180725,138,SF,김지운
20180522,앤트맨과 와스프,Ant-Man and the Wasp,,12세이상관람가,20180704,118,액션,페이튼 리드
20185341,마녀,The Witch : Part 1. The Subversion,,15세이상관람가,20180627,125,미스터리,박훈정
