영화코드,누적관객수,영화이름
20184678,29890,배반의 장미
20187521,25631,펭귄 하이웨이
20180628,12152,액슬
20180770,34822,다이노 어드벤처2: 육해공 공룡 대백과
20189462,83846,셜록 놈즈
20177308,1953273,협상
20188661,21620,에브리데이
20172204,2066465,명당
20167903,439910,원더풀 고스트
20189262,1007366,더 넌
20185046,2944333,서치
20188304,151054,극장판 요괴워치 섀도사이드: 도깨비왕의 부활
20189268,89501,루이스
20180167,42980,에그엔젤 코코밍: 두근두근 핼러윈 파티
20189746,35688,극장판 뽀잉: 슈퍼 변신의 비밀
20156554,702096,물괴
20153446,2812226,너의 결혼식
20188581,169814,더 프레데터
20189362,178153,업그레이드
20177537,760945,상류사회
20181942,2280120,맘마미아!2
20186202,12264813,신과함께-인과 연
20179101,4968325,공작
20170670,2512159,목격자
20189261,41977,어드리프트:우리가 함께한 바다
20187647,258016,나를 차버린 스파이
20181181,6567099,미션 임파서블: 폴아웃
20139221,3262924,그래비티
20184802,1023630,몬스터 호텔 3
20183584,515536,메가로돈
20187657,51350,마일22
20187641,138640,극장판 도라에몽: 진구의 보물섬
20187427,377257,명탐정 코난 : 제로의 집행인
20186501,854230,극장판 헬로카봇 : 백악기 시대
20183361,2998015,인크레더블 2
20185242,667879,신비아파트: 금빛 도깨비와 비밀의 동굴
20186121,123887,어느 가족
20170942,891308,인랑
20180522,5444801,앤트맨과 와스프
20185341,3188405,마녀
20181443,999978,스카이스크래퍼
20188042,136885,독전: 익스텐디드 컷
20186001,63047,신은 죽지 않았다 3: 어둠 속의 빛
